model,subset,role,feature_count,features,metric,mean,sd_across_repeats,repeat_blocks
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,balanced_accuracy,0.8793884780559027,0.026442990558651985,20
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,keyhole_recall,0.8506314059272209,0.04325406784599262,20
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,conduction_recall,0.9081455501845849,0.019410908111241437,20
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,false_negative,4.5,1.3572417850765923,20
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,false_positive,4.25,0.8506963092234007,20
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,q20,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,brier_score,0.09958674288535319,0.008624868921017556,20
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,roc_auc,0.9594850149633855,0.008010009207691487,20
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,pr_auc,0.9226004533557131,0.013225934357098524,20
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,accuracy,0.9161421943769007,0.018005582109079057,20
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,balanced_accuracy,0.903737120946025,0.022924854638460456,20
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,keyhole_recall,0.8661060351849826,0.039136565823895596,20
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,conduction_recall,0.9413682067070676,0.01269101014583339,20
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,false_negative,5.0,1.4142135623730951,20
abl_shape3_plus_robust_median_positive_dWdt_um_per_ms,q30,ablation,8,P + VX + LS + ST + width_gain_20_um + width_gain_40_um + time_to_50pct_max_width_tau + robust_median_positive_dWdt_um_per_ms,false_positive,4.35,0.9880869341680844,20
